n: 8
I: [ (1) 0 30 60 0 0 0 0 0 ]
S: [ (1) 0 0 0 1 1 2 2 2 ]
B: [ (1 1) 0 50 115 0 0 0 0 0 
     (2 1) 0 0 0 2147483647 2147483647 0 0 0 
     (3 1) 0 0 0 0 0 2147483647 2147483647 2147483647 
     (4 1) 0 0 0 0 2 3 1 0 
     (5 1) 0 0 0 0 0 0 0 5 
     (6 1) 0 0 0 0 0 0 0 7 
     (7 1) 0 0 0 0 0 0 0 2 
     (8 1) 0 0 0 0 0 0 0 0 
   ]
D: [ (1 1) 0 1 1 0 0 0 0 0 
     (2 1) 0 0 0 1 1 0 0 0 
     (3 1) 0 0 0 0 0 1 1 1 
     (4 1) 0 0 0 0 1 1 1 0 
     (5 1) 0 0 0 0 0 0 0 1 
     (6 1) 0 0 0 0 0 0 0 1 
     (7 1) 0 0 0 0 0 0 0 1 
     (8 1) 0 0 0 0 0 0 0 0 
   ]
