n: 10
I: [ (1) 0 30 60 30 60 0 0 0 0 0 ]
S: [ (1) 0 0 0 0 0 1 1 2 2 2 ]
B: [ (1 1) 0 50 115 50 115 0 0 0 0 0 
     (2 1) 0 0 0 0 0 2147483647 0 0 0 0 
     (3 1) 0 0 0 0 0 0 0 2147483647 0 2147483647 
     (4 1) 0 0 0 0 0 0 2147483647 0 0 0 
     (5 1) 0 0 0 0 0 0 0 0 2147483647 0 
     (6 1) 0 0 0 0 0 0 2 3 1 0 
     (7 1) 0 0 0 0 0 0 0 0 0 5 
     (8 1) 0 0 0 0 0 0 0 0 0 7 
     (9 1) 0 0 0 0 0 0 0 0 0 2 
     (10 1) 0 0 0 0 0 0 0 0 0 0 
   ]
D: [ (1 1) 0 1 1 1 1 0 0 0 0 0 
     (2 1) 0 0 0 0 0 1 0 0 0 0 
     (3 1) 0 0 0 0 0 0 0 1 0 1 
     (4 1) 0 0 0 0 0 0 1 0 0 0 
     (5 1) 0 0 0 0 0 0 0 0 1 0 
     (6 1) 0 0 0 0 0 0 1 1 1 0 
     (7 1) 0 0 0 0 0 0 0 0 0 1 
     (8 1) 0 0 0 0 0 0 0 0 0 1 
     (9 1) 0 0 0 0 0 0 0 0 0 1 
     (10 1) 0 0 0 0 0 0 0 0 0 0 
   ]
