m: 20
TI: [ (1) 1.517513 1.460583 1.978642 1.025173 1.004658 0.801135 1.101735 1.901999 1.521175 1.628649 0.757478 0.815563 1.569075 0.542717 1.273430 0.503299 1.571791 1.521383 1.220123 1.307106]
C: [ (1) 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
TB: [ (0 1) 0.000000 0.014838 0.001249 0.000000 0.000000 0.000000 0.009231 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (1 1) 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001084 0.005241 0.000000 0.000000 0.002316 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (2 1) 0.000000 0.003322 0.000000 0.000000 0.000000 0.000000 0.002444 0.000000 0.000000 0.002652 0.001103 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (3 1) 0.000000 0.001005 0.001266 0.000000 0.001783 0.001514 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (4 1) 0.001276 0.002550 0.001745 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.002086 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (5 1) 0.004975 0.001144 0.002239 0.000000 0.001146 0.000000 0.001314 0.000000 0.000000 0.000000 0.002214 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (6 1) 0.000000 0.000000 0.000000 0.002023 0.001119 0.000000 0.000000 0.000000 0.000000 0.000000 0.001118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (7 1) 0.003307 0.000000 0.003585 0.000000 0.001797 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (8 1) 0.000000 0.000000 0.003121 0.002243 0.004636 0.000000 0.001666 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (9 1) 0.000000 0.001746 0.000000 0.000000 0.001100 0.001543 0.000000 0.003649 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (10 1) 0.001665 0.000000 0.000000 0.001116 0.000000 0.000000 0.000000 0.000000 0.013000 0.002580 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
