m: 15
TI: [ (1) 1.561999 0.929829 1.669382 1.287948 0.711679 1.431248 1.296622 0.540094 1.167857 0.873481 1.715556 1.726672 1.668711 1.308439 0.959913]
C: [ (1) 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
TB: [ (0 1) 0.000000 0.001478 0.002988 0.000000 0.000000 0.012877 0.001212 0.002891 0.000000 0.000000 0.001712 0.000000 0.000000 0.000000 0.000000
      (1 1) 0.000000 0.000000 0.001273 0.000000 0.000000 0.000000 0.000000 0.000000 0.001258 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (2 1) 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (3 1) 0.007560 0.001634 0.001316 0.000000 0.000000 0.000000 0.000000 0.000000 0.002045 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (4 1) 0.001034 0.003592 0.001745 0.000993 0.000000 0.005429 0.000000 0.000000 0.001643 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (5 1) 0.000000 0.001758 0.001187 0.001441 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001204 0.000000 0.000000 0.000000
      (6 1) 0.000000 0.020644 0.001063 0.001693 0.002652 0.001106 0.000000 0.000000 0.000000 0.005126 0.000000 0.000000 0.000000 0.000000 0.000000
      (7 1) 0.000000 0.001657 0.006005 0.002601 0.028133 0.001372 0.008927 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (8 1) 0.001116 0.000000 0.003785 0.000000 0.000000 0.001431 0.001593 0.005100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (9 1) 0.000000 0.000000 0.001125 0.001441 0.004414 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (10 1) 0.000000 0.000000 0.000000 0.000000 0.001041 0.001919 0.000000 0.000000 0.003693 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (11 1) 0.000000 0.000993 0.000000 0.000000 0.023375 0.000000 0.004153 0.000000 0.001499 0.001711 0.000000 0.000000 0.000000 0.000000 0.000000
      (12 1) 0.000000 0.000000 0.001842 0.000000 0.000000 0.000000 0.001010 0.000000 0.021891 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (13 1) 0.000000 0.000000 0.000000 0.000000 0.000980 0.000000 0.000000 0.001157 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (14 1) 0.000000 0.000000 0.000000 0.000000 0.007978 0.000000 0.000000 0.000000 0.001327 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
   ]
N: [ (0 1) 1 1 1 0 0 1 1 1 0 0 1 0 0 0 0
     (1 1) 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0
     (2 1) 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
     (3 1) 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0
     (4 1) 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0
     (5 1) 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0
     (6 1) 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0
     (7 1) 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0
     (8 1) 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0
     (9 1) 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0
     (10 1) 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0
     (11 1) 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0
     (12 1) 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0
     (13 1) 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0
     (14 1) 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1
   ]
TR: [ (1) 0.001033 0.001202 0.004417 0.001033 0.030761 0.002291 0.006509 0.001370 0.001937 0.001058 0.001859 0.001327 0.004427 0.010719 0.001847]
