n: 10
I: [ (1) 0 0 0 0 0 0 0 0 0 0]
S: [ (1) 1 1 1 1 1 1 1 1 1 1]
B: [ (1 1) 0 18 12 9 11 14 0 0 0 0 
     (2 1) 0 0 0 0 0 0 0 19 16 0 
     (3 1) 0 0 0 0 0 0 23 0 0 0 
     (4 1) 0 0 0 0 0 0 0 27 23 0 
     (5 1) 0 0 0 0 0 0 0 0 13 0 
     (6 1) 0 0 0 0 0 0 0 15 0 0 
     (7 1) 0 0 0 0 0 0 0 0 0 17 
     (8 1) 0 0 0 0 0 0 0 0 0 11 
     (9 1) 0 0 0 0 0 0 0 0 0 13 
     (10 1) 0 0 0 0 0 0 0 0 0 0
   ]
D: [ (1 1) 0 1 1 1 1 1 0 0 0 0 
     (2 1) 0 0 0 0 0 0 0 1 1 0 
     (3 1) 0 0 0 0 0 0 1 0 0 0 
     (4 1) 0 0 0 0 0 0 0 1 1 0 
     (5 1) 0 0 0 0 0 0 0 0 1 0 
     (6 1) 0 0 0 0 0 0 0 1 0 0 
     (7 1) 0 0 0 0 0 0 0 0 0 1 
     (8 1) 0 0 0 0 0 0 0 0 0 1 
     (9 1) 0 0 0 0 0 0 0 0 0 1 
     (10 1) 0 0 0 0 0 0 0 0 0 0
   ]
