m: 5
TI: [ (1) 1.606189 0.848131 1.596067 0.651876 1.676591]
C: [ (1) 1 1 1 1 1]
TB: [ (0 1) 0.000000 0.000985 0.001826 0.000000 0.000000
      (1 1) 0.000000 0.000000 0.004048 0.000000 0.000000
      (2 1) 0.000000 0.000000 0.000000 0.000000 0.000000
      (3 1) 0.002024 0.000000 0.001173 0.000000 0.000000
      (4 1) 0.001751 0.001873 0.000000 0.000000 0.000000
   ]
N: [ (0 1) 1 1 1 0 0
     (1 1) 0 1 1 0 0
     (2 1) 0 0 1 0 0
     (3 1) 1 0 1 1 0
     (4 1) 1 1 0 0 1
   ]
TR: [ (1) 0.002938 0.002435 0.001659 0.002583 0.001174]
