m: 30
TI: [ (1) 1.354082 1.285997 1.157933 0.565958 1.179507 1.396490 1.798991 1.295587 1.894312 1.289941 0.519305 0.622954 0.562798 1.931941 1.743277 0.641755 1.845149 1.288798 1.479388 1.071918 1.879659 1.849007 0.701849 0.751025 1.502805 1.381190 0.548097 1.513652 1.829207 1.495643]
C: [ (1) 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
TB: [ (0 1) 0.000000 0.001370 0.001829 0.000000 0.000000 0.001358 0.000000 0.001551 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (1 1) 0.000000 0.000000 0.002302 0.005653 0.000000 0.000000 0.003823 0.000000 0.000000 0.000000 0.004579 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (2 1) 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.002423 0.000000 0.000000 0.001081 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (3 1) 0.000973 0.000000 0.001315 0.000000 0.000000 0.000000 0.000000 0.003356 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (4 1) 0.001351 0.000000 0.003844 0.012774 0.000000 0.001051 0.001301 0.001874 0.001874 0.000000 0.000000 0.000000 0.052555 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (5 1) 0.000000 0.002548 0.003502 0.001298 0.000000 0.000000 0.000000 0.001847 0.000000 0.000000 0.001587 0.000000 0.000000 0.011296 0.000000 0.000000 0.000000 0.000000 0.001798 0.002797 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (6 1) 0.001650 0.000000 0.009857 0.001750 0.000000 0.008689 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (7 1) 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.002855 0.000000 0.003026 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (8 1) 0.004040 0.000000 0.016708 0.000000 0.000000 0.009638 0.002899 0.003224 0.000000 0.000000 0.001495 0.000000 0.002668 0.002684 0.001617 0.000000 0.026602 0.001503 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (9 1) 0.000000 0.000000 0.001645 0.000000 0.000000 0.001645 0.001393 0.001399 0.026560 0.000000 0.000000 0.000000 0.000000 0.001820 0.002681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
      (10 1) 0.001034 0.000000 0.000000 0.001443 0.009197 0.000000 0.015064 0.000000 0.000000 0.001319 0.000000 0.000000 0.000000 0.001422 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
