n: 14
I: [ (1) 50 52 50 46 49 51 47 51 51 47 48 52 46 47]
S: [ (1) 1 2 3 13 13 13 13 13 13 13 13 13 13 13]
B: [ (1 1) 0 4 4 0 0 0 0 0 0 0 0 0 0 0 
     (2 1) 0 0 0 5 5 0 0 0 0 0 0 4 0 0 
     (3 1) 0 0 0 0 4 5 0 0 0 0 0 0 5 0 
     (4 1) 0 0 0 0 0 0 5 0 0 0 0 0 0 0 
     (5 1) 0 0 0 0 0 0 0 5 0 0 0 0 0 0 
     (6 1) 0 0 0 0 0 0 0 0 5 0 0 0 0 0 
     (7 1) 0 0 0 0 0 0 0 0 0 5 0 0 0 0 
     (8 1) 0 0 0 0 0 0 0 0 0 5 0 0 0 0 
     (9 1) 0 0 0 0 0 0 0 0 0 5 0 0 0 0 
     (10 1) 0 0 0 0 0 0 0 0 0 0 5 0 0 0 
     (11 1) 0 0 0 0 0 0 0 0 0 0 0 4 5 0 
     (12 1) 0 0 0 0 0 0 0 0 0 0 0 0 0 5 
     (13 1) 0 0 0 0 0 0 0 0 0 0 0 0 0 5 
     (14 1) 0 0 0 0 0 0 0 0 0 0 0 0 0 0
   ]
D: [ (1 1) 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
     (2 1) 0 0 0 1 1 0 0 0 0 0 0 1 0 0 
     (3 1) 0 0 0 0 1 1 0 0 0 0 0 0 1 0 
     (4 1) 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
     (5 1) 0 0 0 0 0 0 0 1 0 0 0 0 0 0 
     (6 1) 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
     (7 1) 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
     (8 1) 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
     (9 1) 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
     (10 1) 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
     (11 1) 0 0 0 0 0 0 0 0 0 0 0 1 1 0 
     (12 1) 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
     (13 1) 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
     (14 1) 0 0 0 0 0 0 0 0 0 0 0 0 0 0
   ]
